baseline,app,bug_name,verdict,cause,required_paths,paths_found_in_suite,required_values,n_required_values,uses_visit_state
A,bookstack,comment,not_activated,value_difference,,,I like this template,1,False
A,bookstack,count_recently_created_books,oracle_miss,,,,Recently Created Pages,1,False
A,bookstack,count_recently_created_chapters,oracle_miss,,,,Recently Created Pages,1,False
A,bookstack,count_recently_created_pages,oracle_miss,,,,Search Results,1,False
A,bookstack,count_recently_created_shelves,oracle_miss,,,,Recently Created Pages,1,False
A,bookstack,create_book,not_activated,navigation_depth,/books,/books,,0,True
A,bookstack,create_page,not_activated,coverage_gap,/books/book/page/new-page,,,0,False
A,bookstack,create_sort_rule,not_activated,coverage_gap,/settings/sorting,,,0,True
A,bookstack,delete_book,not_activated,value_difference,,,Books,1,True
A,bookstack,favourite_book,oracle_miss,,,,My Favourites,1,False
A,bookstack,favourite_chapter,oracle_miss,,,,My Favourites,1,False
A,bookstack,favourite_page,oracle_miss,,,,My Favourites,1,False
A,bookstack,favourite_page_template,oracle_miss,,,,My Favourites,1,False
A,bookstack,recent_activity_all,oracle_miss,,,,Recent Activity,1,False
A,bookstack,recent_activity_chapter,oracle_miss,,,,Recent Activity | Details,2,False
A,bookstack,recent_activity_page,oracle_miss,,,,Recent Activity | Details,2,False
A,bookstack,recent_activity_page_template,oracle_miss,,,,Details,1,False
A,bookstack,recent_activity_shelf,oracle_miss,,,,Recent Activity | Details,2,False
A,bookstack,recently_viewed_book,not_activated,navigation_depth,,,,0,True
A,bookstack,recently_viewed_chapter,not_activated,navigation_depth,,,,0,True
A,bookstack,recently_viewed_page,not_activated,navigation_depth,,,,0,True
A,bookstack,recently_viewed_page_template,not_activated,navigation_depth,,,,0,True
A,bookstack,recently_viewed_shelf,not_activated,navigation_depth,,,,0,True
A,bookstack,search,oracle_miss,,,,Book2,1,False
A,bookstack,settings,not_activated,value_difference,,,Sorting,1,False
A,bookstack,unfavourite_shelf,oracle_miss,,,,My Favourites,1,False
A,bookstack,update_book,not_activated,navigation_depth,/books,/books,,0,True
A,indico,administration,not_activated,coverage_gap,/admin/unlisted-events,,,0,False
A,indico,clone_event,not_activated,value_difference,,,January 2025,1,True
A,indico,create_announcement,not_activated,value_difference,,,January 2025,1,True
A,indico,create_conference,not_activated,value_difference,,,January 2025 | New Conference,2,False
A,indico,create_lecture,not_activated,value_difference,,,January 2025 | New Lecture,2,False
A,indico,create_meeting,not_activated,value_difference,,,January 2025 | New Meeting,2,False
A,indico,create_news,not_activated,value_difference,,,January 2025,1,True
A,indico,delete_conference,not_activated,value_difference,,,flashed-messages | success-message-box,2,False
A,indico,delete_lecture,not_activated,value_difference,,,flashed-messages | success-message-box,2,False
A,indico,delete_meeting,not_activated,value_difference,,,flashed-messages | success-message-box,2,False
A,indico,edit_conference,not_activated,value_difference,,,January 2025,1,True
A,indico,edit_lecture,oracle_miss,,,,,0,True
A,indico,edit_meeting,oracle_miss,,,,,0,True
A,indico,favourite_conference,not_activated,value_difference,,,January 2025,1,True
A,indico,favourite_lecture,not_activated,value_difference,,,January 2025,1,True
A,indico,favourite_meeting,not_activated,value_difference,,,January 2025,1,True
A,indico,fill_out_survey,not_activated,value_difference,,,The survey has been submitted,1,False
A,indico,profile_settings,not_activated,coverage_gap,/user/favorites,,,0,False
A,indico,register_conference,oracle_miss,,,,,0,False
A,indico,room_booking,oracle_miss,,/rooms/book,/rooms/book,,0,False
A,indico,search_events,not_activated,coverage_gap,/search/?q=test,,,0,False
A,indico,view_conference_details,not_activated,value_difference,,,January 2025,1,True
A,indico,view_conference_timetable,not_activated,coverage_gap,🔑 Condition met?,,"🔍 Checking for 'Session 2' li element... | Session 2 | ❌ 'Session 2' li not found | ✅ Found 'Session 2' li: | ❌ Checkbox not found inside 'Session 2' li | Checkbox found, checked: | ❌ Timetable container not found | ℹ️ Existing Session 2 blocks count:",8,False
A,indico,view_lecture_details,not_activated,value_difference,,,January 2025,1,True
A,indico,view_meeting_details,not_activated,value_difference,,,January 2025,1,True
A,invoiceninja,approve_quote,not_activated,navigation_depth,/dashboard,/dashboard,,0,True
A,invoiceninja,convert_quote_to_invoice,not_activated,unexplained,/invoices,/invoices,,0,False
A,invoiceninja,create_invoice,not_activated,value_difference,,,Draft | Subtotal | $ 200.00,3,False
A,invoiceninja,create_product,not_activated,value_difference,,,Active,1,False
A,invoiceninja,delete_expired_quote,not_activated,navigation_depth,/dashboard,/dashboard,,0,True
A,invoiceninja,delete_payment,not_activated,navigation_depth,/dashboard,/dashboard,,0,True
A,invoiceninja,disable_invoices_module,not_activated,navigation_depth,/dashboard,/dashboard,,0,True
A,invoiceninja,disable_quotes_module,not_activated,navigation_depth,/dashboard,/dashboard,,0,True
A,invoiceninja,enter_payment,not_activated,indeterminate,,,,0,False
A,invoiceninja,expired_quotes,not_activated,unexplained,/quotes,/quotes,,0,False
A,invoiceninja,localization,not_activated,coverage_gap,/settings/localization,,,0,False
A,invoiceninja,mark_invoice_as_paid,not_activated,navigation_depth,/dashboard,/dashboard,,0,True
A,invoiceninja,mark_past_due_invoice_as_paid,not_activated,navigation_depth,/dashboard,/dashboard,,0,True
A,invoiceninja,past_due_invoices,not_activated,unexplained,/invoices,/invoices,,0,False
A,invoiceninja,recent_payments,not_activated,unexplained,/payments,/payments,,0,False
A,invoiceninja,recent_transactions_expenses,not_activated,navigation_depth,/dashboard,/dashboard,,0,True
A,invoiceninja,recent_transactions_payments,not_activated,navigation_depth,/dashboard,/dashboard,,0,True
