bug_name,verdict,activated,candidate_failures,aligned_failures,detecting_test,notes
administration,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
clone_event,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
create_announcement,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
create_conference,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
create_lecture,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
create_meeting,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
create_news,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
delete_conference,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
delete_lecture,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
delete_meeting,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
edit_conference,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
edit_lecture,oracle_miss,True,0,0,,fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
edit_meeting,oracle_miss,True,0,0,,fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
favourite_conference,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
favourite_lecture,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
favourite_meeting,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
fill_out_survey,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
profile_settings,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
register_conference,oracle_miss,True,0,0,,fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
room_booking,oracle_miss,True,0,0,,fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
search_events,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
view_conference_details,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
view_conference_timetable,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
view_lecture_details,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
view_meeting_details,not_activated,False,0,0,,fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
