bug_name,verdict,activated,candidate_failures,aligned_failures,detecting_test,notes
buyer_add_product_to_cart,caught,True,3,3,Cart page shows added product with correct name,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads
buyer_add_product_to_wishlist,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
buyer_contact_us,oracle_miss,True,0,0,,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
buyer_edit_quantity_in_cart,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
buyer_remove_product_from_cart,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
buyer_remove_product_from_wishlist,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
buyer_search_product,oracle_miss,True,0,0,,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
buyer_sort_products_by_name_a_to_z,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
buyer_sort_products_by_name_z_to_a,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
buyer_sort_products_by_price_high_to_low,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
