baseline,app,bug_name,verdict,activated,candidate_failures,aligned_failures,detecting_test
A (Claude Code baseline),bookstack,comment,not_activated,False,0,0,
A (Claude Code baseline),bookstack,count_recently_created_books,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,count_recently_created_chapters,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,count_recently_created_pages,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,count_recently_created_shelves,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,create_book,not_activated,False,0,0,
A (Claude Code baseline),bookstack,create_page,not_activated,False,0,0,
A (Claude Code baseline),bookstack,create_sort_rule,not_activated,False,0,0,
A (Claude Code baseline),bookstack,delete_book,not_activated,False,0,0,
A (Claude Code baseline),bookstack,favourite_book,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,favourite_chapter,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,favourite_page,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,favourite_page_template,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,recent_activity_all,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,recent_activity_chapter,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,recent_activity_page,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,recent_activity_page_template,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,recent_activity_shelf,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,recently_viewed_book,not_activated,False,0,0,
A (Claude Code baseline),bookstack,recently_viewed_chapter,not_activated,False,0,0,
A (Claude Code baseline),bookstack,recently_viewed_page,not_activated,False,0,0,
A (Claude Code baseline),bookstack,recently_viewed_page_template,not_activated,False,0,0,
A (Claude Code baseline),bookstack,recently_viewed_shelf,not_activated,False,0,0,
A (Claude Code baseline),bookstack,search,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,settings,not_activated,False,0,0,
A (Claude Code baseline),bookstack,unfavourite_shelf,oracle_miss,True,0,0,
A (Claude Code baseline),bookstack,update_book,not_activated,False,0,0,
A (Claude Code baseline),indico,administration,not_activated,False,0,0,
A (Claude Code baseline),indico,clone_event,not_activated,False,0,0,
A (Claude Code baseline),indico,create_announcement,not_activated,False,0,0,
A (Claude Code baseline),indico,create_conference,not_activated,False,0,0,
A (Claude Code baseline),indico,create_lecture,not_activated,False,0,0,
A (Claude Code baseline),indico,create_meeting,not_activated,False,0,0,
A (Claude Code baseline),indico,create_news,not_activated,False,0,0,
A (Claude Code baseline),indico,delete_conference,not_activated,False,0,0,
A (Claude Code baseline),indico,delete_lecture,not_activated,False,0,0,
A (Claude Code baseline),indico,delete_meeting,not_activated,False,0,0,
A (Claude Code baseline),indico,edit_conference,not_activated,False,0,0,
A (Claude Code baseline),indico,edit_lecture,oracle_miss,True,0,0,
A (Claude Code baseline),indico,edit_meeting,oracle_miss,True,0,0,
A (Claude Code baseline),indico,favourite_conference,not_activated,False,0,0,
A (Claude Code baseline),indico,favourite_lecture,not_activated,False,0,0,
A (Claude Code baseline),indico,favourite_meeting,not_activated,False,0,0,
A (Claude Code baseline),indico,fill_out_survey,not_activated,False,0,0,
A (Claude Code baseline),indico,profile_settings,not_activated,False,0,0,
A (Claude Code baseline),indico,register_conference,oracle_miss,True,0,0,
A (Claude Code baseline),indico,room_booking,oracle_miss,True,0,0,
A (Claude Code baseline),indico,search_events,not_activated,False,0,0,
A (Claude Code baseline),indico,view_conference_details,not_activated,False,0,0,
