app,bug_name,bookstack | A,bookstack | B,indico | A,indico | B,invoiceninja | A,prestashop | A,prestashop | B
bookstack,comment,not_activated,not_activated,,,,,
bookstack,count_recently_created_books,oracle_miss,not_activated,,,,,
bookstack,count_recently_created_chapters,oracle_miss,not_activated,,,,,
bookstack,count_recently_created_pages,oracle_miss,oracle_miss,,,,,
bookstack,count_recently_created_shelves,oracle_miss,not_activated,,,,,
bookstack,create_book,not_activated,not_activated,,,,,
bookstack,create_page,not_activated,not_activated,,,,,
bookstack,create_sort_rule,not_activated,not_activated,,,,,
bookstack,delete_book,not_activated,not_activated,,,,,
bookstack,favourite_book,oracle_miss,oracle_miss,,,,,
bookstack,favourite_chapter,oracle_miss,oracle_miss,,,,,
bookstack,favourite_page,oracle_miss,oracle_miss,,,,,
bookstack,favourite_page_template,oracle_miss,oracle_miss,,,,,
bookstack,recent_activity_all,oracle_miss,not_activated,,,,,
bookstack,recent_activity_chapter,oracle_miss,oracle_miss,,,,,
bookstack,recent_activity_page,oracle_miss,oracle_miss,,,,,
bookstack,recent_activity_page_template,oracle_miss,oracle_miss,,,,,
bookstack,recent_activity_shelf,oracle_miss,oracle_miss,,,,,
bookstack,recently_viewed_book,not_activated,oracle_miss,,,,,
bookstack,recently_viewed_chapter,not_activated,oracle_miss,,,,,
bookstack,recently_viewed_page,not_activated,oracle_miss,,,,,
bookstack,recently_viewed_page_template,not_activated,oracle_miss,,,,,
bookstack,recently_viewed_shelf,not_activated,oracle_miss,,,,,
bookstack,search,oracle_miss,oracle_miss,,,,,
bookstack,settings,not_activated,not_activated,,,,,
bookstack,unfavourite_shelf,oracle_miss,oracle_miss,,,,,
bookstack,update_book,not_activated,not_activated,,,,,
indico,administration,,,not_activated,not_activated,,,
indico,clone_event,,,not_activated,not_activated,,,
indico,create_announcement,,,not_activated,not_activated,,,
indico,create_conference,,,not_activated,not_activated,,,
indico,create_lecture,,,not_activated,not_activated,,,
indico,create_meeting,,,not_activated,not_activated,,,
indico,create_news,,,not_activated,not_activated,,,
indico,delete_conference,,,not_activated,oracle_miss,,,
indico,delete_lecture,,,not_activated,oracle_miss,,,
indico,delete_meeting,,,not_activated,oracle_miss,,,
indico,edit_conference,,,not_activated,not_activated,,,
indico,edit_lecture,,,oracle_miss,not_activated,,,
indico,edit_meeting,,,oracle_miss,not_activated,,,
indico,favourite_conference,,,not_activated,not_activated,,,
indico,favourite_lecture,,,not_activated,not_activated,,,
indico,favourite_meeting,,,not_activated,not_activated,,,
indico,fill_out_survey,,,not_activated,not_activated,,,
indico,profile_settings,,,not_activated,not_activated,,,
indico,register_conference,,,oracle_miss,oracle_miss,,,
indico,room_booking,,,oracle_miss,not_activated,,,
indico,search_events,,,not_activated,not_activated,,,
indico,view_conference_details,,,not_activated,not_activated,,,
indico,view_conference_timetable,,,not_activated,not_activated,,,
indico,view_lecture_details,,,not_activated,not_activated,,,
indico,view_meeting_details,,,not_activated,not_activated,,,
invoiceninja,approve_quote,,,,,not_activated,,
invoiceninja,convert_quote_to_invoice,,,,,not_activated,,
invoiceninja,create_invoice,,,,,not_activated,,
invoiceninja,create_product,,,,,not_activated,,
invoiceninja,delete_expired_quote,,,,,not_activated,,
invoiceninja,delete_payment,,,,,not_activated,,
invoiceninja,disable_invoices_module,,,,,not_activated,,
invoiceninja,disable_quotes_module,,,,,not_activated,,
invoiceninja,enter_payment,,,,,not_activated,,
invoiceninja,expired_quotes,,,,,not_activated,,
invoiceninja,localization,,,,,not_activated,,
invoiceninja,mark_invoice_as_paid,,,,,not_activated,,
invoiceninja,mark_past_due_invoice_as_paid,,,,,not_activated,,
invoiceninja,past_due_invoices,,,,,not_activated,,
invoiceninja,recent_payments,,,,,not_activated,,
invoiceninja,recent_transactions_expenses,,,,,not_activated,,
invoiceninja,recent_transactions_payments,,,,,not_activated,,
invoiceninja,settings,,,,,not_activated,,
invoiceninja,stop_recurring_invoice,,,,,not_activated,,
invoiceninja,upcoming_invoices,,,,,not_activated,,
invoiceninja,upcoming_quotes,,,,,not_activated,,
invoiceninja,upcoming_recurring_invoices,,,,,not_activated,,
invoiceninja,view_invoice_details,,,,,not_activated,,
invoiceninja,view_products,,,,,not_activated,,
invoiceninja,view_quote_details,,,,,not_activated,,
prestashop,buyer_add_product_to_cart,,,,,,caught,incidental_failure
prestashop,buyer_add_product_to_wishlist,,,,,,not_activated,not_activated
prestashop,buyer_contact_us,,,,,,oracle_miss,not_activated
prestashop,buyer_edit_quantity_in_cart,,,,,,not_activated,not_activated
prestashop,buyer_remove_product_from_cart,,,,,,not_activated,not_activated
prestashop,buyer_remove_product_from_wishlist,,,,,,not_activated,not_activated
prestashop,buyer_search_product,,,,,,oracle_miss,oracle_miss
prestashop,buyer_sort_products_by_name_a_to_z,,,,,,not_activated,not_activated
prestashop,buyer_sort_products_by_name_z_to_a,,,,,,not_activated,not_activated
prestashop,buyer_sort_products_by_price_high_to_low,,,,,,not_activated,not_activated
prestashop,buyer_sort_products_by_price_low_to_high,,,,,,not_activated,not_activated
prestashop,buyer_view_new_product_details,,,,,,not_activated,oracle_miss
prestashop,buyer_view_popular_product_details,,,,,,not_activated,oracle_miss
prestashop,buyer_view_store_information,,,,,,oracle_miss,oracle_miss
prestashop,seller_backorder_order,,,,,,not_activated,not_activated
prestashop,seller_cancel_order,,,,,,not_activated,not_activated
prestashop,seller_delete_product,,,,,,not_activated,not_activated
prestashop,seller_deliver_order,,,,,,not_activated,not_activated
prestashop,seller_refund_order,,,,,,not_activated,not_activated
prestashop,seller_ship_order,,,,,,not_activated,not_activated
prestashop,seller_view_carts,,,,,,not_activated,not_activated
prestashop,seller_view_catalog_product_details,,,,,,not_activated,oracle_miss
prestashop,seller_view_shop_design,,,,,,not_activated,not_activated
