baseline,app,bug,source,evidence,trigger,tier,verdict,caught,detecting_test
A,bookstack,count_recently_created_books,relaxed,VERIFIED,literal gate relaxed,tier1,oracle_miss,False,
A,bookstack,count_recently_created_chapters,relaxed,VERIFIED,literal gate relaxed,tier1,oracle_miss,False,
A,bookstack,count_recently_created_pages,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,count_recently_created_shelves,relaxed,VERIFIED,literal gate relaxed,tier1,oracle_miss,False,
A,bookstack,delete_book,relaxed,VERIFIED,literal gate relaxed,tier1,oracle_miss,False,
A,bookstack,favourite_book,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,favourite_chapter,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,favourite_page,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,favourite_page_template,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,recent_activity_all,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,recent_activity_chapter,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,recent_activity_page,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,recent_activity_page_template,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,recent_activity_shelf,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,search,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,bookstack,unfavourite_shelf,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,indico,clone_event,relaxed,VERIFIED,literal gate relaxed,tier2,oracle_miss,False,
A,indico,create_announcement,relaxed,VERIFIED,literal gate relaxed,tier2,oracle_miss,False,
A,indico,create_conference,relaxed,VERIFIED,literal gate relaxed,tier2,oracle_miss,False,
A,indico,create_lecture,relaxed,VERIFIED,literal gate relaxed,tier2,oracle_miss,False,
A,indico,create_meeting,relaxed,VERIFIED,literal gate relaxed,tier2,oracle_miss,False,
A,indico,create_news,relaxed,VERIFIED,literal gate relaxed,tier2,oracle_miss,False,
A,indico,edit_conference,relaxed,VERIFIED,literal gate relaxed,tier2,oracle_miss,False,
A,indico,edit_lecture,official,UNVERIFIED,as shipped,,oracle_miss,False,
A,indico,edit_meeting,official,UNVERIFIED,as shipped,,oracle_miss,False,
