baseline,app,bug_name,verdict,mutation_kind,capability,victim_tokens,tokens_asserted,suite_has_count_assertion
A,bookstack,comment,not_activated,insert,victim_not_asserted,comment-box | comment-branch | comment-branch-children,,True
A,bookstack,count_recently_created_books,oracle_miss,insert,victim_mentioned,<span role= | entity-list | recent-books,entity-list,True
A,bookstack,count_recently_created_chapters,oracle_miss,insert,victim_mentioned,<span role= | entity-list | recent-chapters,entity-list,True
A,bookstack,count_recently_created_pages,oracle_miss,insert,victim_mentioned,<span role= | book-contents | entity-list,entity-list,True
A,bookstack,count_recently_created_shelves,oracle_miss,insert,victim_mentioned,<span role= | entity-list | recent-shelves,entity-list,True
A,bookstack,create_book,not_activated,remove,victim_mentioned,Bad Description | New Book | New Books | entity-list-item | entity-list-item-name | grid-card,New Book | entity-list-item | new,True
A,bookstack,create_page,not_activated,insert,victim_not_asserted,<div refs=,,True
A,bookstack,create_sort_rule,not_activated,text,victim_not_asserted,New Sort Rule | item-list-row | text-muted,,True
A,bookstack,delete_book,not_activated,insert,victim_mentioned,/books/book-duplicate | Book | grid | grid-card | third,Book,True
A,bookstack,favourite_book,oracle_miss,remove,victim_mentioned,Shelf | book-contents | bookshelf | entity-list | entity-list-item | entity-list-item-name,Shelf | entity-list | entity-list-item,True
A,bookstack,favourite_chapter,oracle_miss,remove,victim_mentioned,Shelf | book-contents | bookshelf | entity-list | entity-list-item | entity-list-item-name,Shelf | entity-list | entity-list-item,True
A,bookstack,favourite_page,oracle_miss,remove,victim_mentioned,Shelf | book-contents | bookshelf | entity-list | entity-list-item | entity-list-item-name,Shelf | entity-list | entity-list-item,True
A,bookstack,favourite_page_template,oracle_miss,remove,victim_mentioned,Shelf | book-contents | bookshelf | entity-list | entity-list-item | entity-list-item-name,Shelf | entity-list | entity-list-item,True
A,bookstack,recent_activity_all,oracle_miss,text,victim_not_asserted,1 year ago | activity-list-item | text-muted,,True
A,bookstack,recent_activity_chapter,oracle_miss,text,victim_not_asserted,details | recent-activity | text-muted,,True
A,bookstack,recent_activity_page,oracle_miss,text,victim_not_asserted,details | recent-activity | text-muted,,True
A,bookstack,recent_activity_page_template,oracle_miss,text,victim_not_asserted,page-details,,True
A,bookstack,recent_activity_shelf,oracle_miss,text,victim_not_asserted,details | recent-activity | text-muted,,True
A,bookstack,recently_viewed_book,not_activated,remove,victim_mentioned,Chapter 2 | entity-list-item | entity-list-item-name | recently-viewed,Chapter 2 | entity-list-item,True
A,bookstack,recently_viewed_chapter,not_activated,remove,victim_mentioned,Page Template | entity-list-item | entity-list-item-name | recently-viewed,entity-list-item,True
A,bookstack,recently_viewed_page,not_activated,remove,victim_mentioned,Chapter 2 | entity-list-item | entity-list-item-name | recently-viewed,Chapter 2 | entity-list-item,True
