alias,path_in_archive,baseline,app,lines,bytes,sha256
headtohead,wtp_headtohead/claude-code-baseline/bookstack/generation/messages.jsonl,claude-code-baseline,bookstack,377,1280689,225bb313fb6768fe54fd94f1b24ec4e0c1be86e91bc74a56bfe7284e643b05bc
headtohead,wtp_headtohead/claude-code-baseline/indico/generation/messages.jsonl,claude-code-baseline,indico,243,814295,81dd849a69b9c32b9d66b6cde29f1824192450274721917b286dd33276e5f536
headtohead,wtp_headtohead/claude-code-baseline/invoiceninja/generation/messages.jsonl,claude-code-baseline,invoiceninja,828,2502279,7a26d6215a6438d4afe4c47037eb19d2148159354d17ee5038fd848625ccd7a8
headtohead,wtp_headtohead/claude-code-baseline/prestashop/generation/messages.jsonl,claude-code-baseline,prestashop,337,1315656,fb3c2f91c286d9af0d50fbf339af5c086d07e6310ee5ffdcb5a4e313c54b975f
headtohead,wtp_headtohead/playwright-agents/bookstack/generation/messages.jsonl,playwright-agents,bookstack,969,1134817,a5ce284ee5d256bd14751849e3457a68f04d087cbcde7f8594c2132df892b195
headtohead,wtp_headtohead/playwright-agents/indico/generation/messages.jsonl,playwright-agents,indico,558,1353767,d5d144645ca989a9a9d9c8624e39a06d6c0a0a384db35713eaa063ffef59dd4a
headtohead,wtp_headtohead/playwright-agents/invoiceninja/generation/messages.jsonl,playwright-agents,invoiceninja,978,4706074,0c969aa2d64c2549644a26ad3172b99c240859d1d954c6bab7f938b549428061
headtohead,wtp_headtohead/playwright-agents/prestashop/generation/messages.jsonl,playwright-agents,prestashop,1140,2023620,758ef128875de56a628150e92eb9265a500e43b0e432c28cf4fe813d60e261ff
relaxed,wtp_relaxed/claude-code-baseline/bookstack/generation/messages.jsonl,claude-code-baseline,bookstack,377,1280689,225bb313fb6768fe54fd94f1b24ec4e0c1be86e91bc74a56bfe7284e643b05bc
relaxed,wtp_relaxed/claude-code-baseline/indico/generation/messages.jsonl,claude-code-baseline,indico,243,814295,81dd849a69b9c32b9d66b6cde29f1824192450274721917b286dd33276e5f536
relaxed,wtp_relaxed/claude-code-baseline/prestashop/generation/messages.jsonl,claude-code-baseline,prestashop,337,1315656,fb3c2f91c286d9af0d50fbf339af5c086d07e6310ee5ffdcb5a4e313c54b975f
relaxed,wtp_relaxed/playwright-agents/bookstack/generation/messages.jsonl,playwright-agents,bookstack,969,1134817,a5ce284ee5d256bd14751849e3457a68f04d087cbcde7f8594c2132df892b195
relaxed,wtp_relaxed/playwright-agents/indico/generation/messages.jsonl,playwright-agents,indico,558,1353767,d5d144645ca989a9a9d9c8624e39a06d6c0a0a384db35713eaa063ffef59dd4a
relaxed,wtp_relaxed/playwright-agents/prestashop/generation/messages.jsonl,playwright-agents,prestashop,1140,2023620,758ef128875de56a628150e92eb9265a500e43b0e432c28cf4fe813d60e261ff
baseline-pilot,webtestpilot_baseline/bookstack/generation/messages.jsonl,bookstack,generation,486,1182690,4ddae84cec407852ca98f286e6e804bcf6dd03296371abb8eaf980b9c695fdb0
baseline-pilot,webtestpilot_baseline/invoiceninja/_hostmode_superseded/generation/messages.jsonl,invoiceninja,_hostmode_superseded,446,3957079,5a643be96266626c5d4d001403643e1f611c00c82c2262c9e2b92f65a4fe4153
