bug_name,verdict,activated,candidate_failures,aligned_failures,detecting_test,notes
administration,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
clone_event,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
create_announcement,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
create_conference,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
create_lecture,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
create_meeting,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
create_news,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
delete_conference,oracle_miss,True,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
delete_lecture,oracle_miss,True,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
delete_meeting,oracle_miss,True,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
edit_conference,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
edit_lecture,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
edit_meeting,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
favourite_conference,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
favourite_lecture,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
favourite_meeting,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
fill_out_survey,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
profile_settings,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
register_conference,oracle_miss,True,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
room_booking,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
search_events,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
view_conference_details,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
view_conference_timetable,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
view_lecture_details,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
view_meeting_details,not_activated,False,0,0,,failure in non-clean-stable test excluded (failing): category-management.spec.ts::View Home Category | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
