baseline,app,bug,tier,verdict,armed,mutation_applied,is_measurement,caught,detecting_test
A,bookstack,comment,tier1,armed_no_effect,True,False,False,False,
A,bookstack,count_recently_created_books,tier1,oracle_miss,True,True,True,False,
A,bookstack,count_recently_created_chapters,tier1,oracle_miss,True,True,True,False,
A,bookstack,count_recently_created_shelves,tier1,oracle_miss,True,True,True,False,
A,bookstack,delete_book,tier1,oracle_miss,True,True,True,False,
A,bookstack,recent_activity_all,tier1,armed_no_effect,True,False,False,False,
A,bookstack,settings,tier2,not_activated,False,,False,False,
A,indico,clone_event,tier2,oracle_miss,True,True,True,False,
A,indico,create_announcement,tier2,oracle_miss,True,True,True,False,
A,indico,create_conference,tier2,oracle_miss,True,True,True,False,
A,indico,create_lecture,tier2,oracle_miss,True,True,True,False,
A,indico,create_meeting,tier2,oracle_miss,True,True,True,False,
A,indico,create_news,tier2,oracle_miss,True,True,True,False,
A,indico,edit_conference,tier2,oracle_miss,True,True,True,False,
A,indico,favourite_conference,tier2,oracle_miss,True,True,True,False,
A,indico,favourite_lecture,tier2,oracle_miss,True,True,True,False,
A,indico,favourite_meeting,tier2,oracle_miss,True,True,True,False,
A,indico,fill_out_survey,tier1,armed_no_effect,True,False,False,False,
A,indico,view_conference_details,tier2,oracle_miss,True,True,True,False,
A,indico,view_conference_timetable,tier1,not_activated,False,,False,False,
A,indico,view_lecture_details,tier2,oracle_miss,True,True,True,False,
A,indico,view_meeting_details,tier2,oracle_miss,True,True,True,False,
A,prestashop,buyer_sort_products_by_name_a_to_z,tier2,not_activated,False,,False,False,
A,prestashop,buyer_sort_products_by_name_z_to_a,tier2,not_activated,False,,False,False,
A,prestashop,buyer_sort_products_by_price_high_to_low,tier2,not_activated,False,,False,False,
A,prestashop,buyer_sort_products_by_price_low_to_high,tier2,not_activated,False,,False,False,
A,prestashop,seller_backorder_order,tier1,not_activated,False,,False,False,
A,prestashop,seller_cancel_order,tier1,not_activated,False,,False,False,
A,prestashop,seller_delete_product,tier1,oracle_miss,True,True,True,False,
A,prestashop,seller_deliver_order,tier1,not_activated,False,,False,False,
A,prestashop,seller_refund_order,tier1,not_activated,False,,False,False,
A,prestashop,seller_ship_order,tier1,not_activated,False,,False,False,
A,prestashop,seller_view_carts,tier1,not_activated,False,,False,False,
A,prestashop,seller_view_catalog_product_details,tier1,oracle_miss,True,True,True,False,
A,prestashop,seller_view_shop_design,tier1,not_activated,False,,False,False,
B,bookstack,comment,tier1,armed_no_effect,True,False,False,False,
B,bookstack,count_recently_created_books,tier1,not_activated,False,,False,False,
B,bookstack,count_recently_created_chapters,tier1,not_activated,False,,False,False,
B,bookstack,count_recently_created_shelves,tier1,not_activated,False,,False,False,
B,bookstack,delete_book,tier1,oracle_miss,True,True,True,False,
B,bookstack,recent_activity_all,tier1,not_activated,False,,False,False,
B,bookstack,settings,tier2,not_activated,False,,False,False,
B,indico,clone_event,tier2,not_activated,False,,False,False,
B,indico,create_announcement,tier2,not_activated,False,,False,False,
B,indico,create_conference,tier2,oracle_miss,True,True,True,False,
B,indico,create_lecture,tier2,oracle_miss,True,True,True,False,
B,indico,create_meeting,tier2,oracle_miss,True,True,True,False,
B,indico,create_news,tier2,not_activated,False,,False,False,
B,indico,edit_conference,tier2,not_activated,False,,False,False,
B,indico,favourite_conference,tier2,not_activated,False,,False,False,
B,indico,favourite_lecture,tier2,not_activated,False,,False,False,
B,indico,favourite_meeting,tier2,not_activated,False,,False,False,
B,indico,fill_out_survey,tier1,oracle_miss,True,True,True,False,
B,indico,view_conference_details,tier2,not_activated,False,,False,False,
B,indico,view_conference_timetable,tier1,not_activated,False,,False,False,
B,indico,view_lecture_details,tier2,not_activated,False,,False,False,
B,indico,view_meeting_details,tier2,not_activated,False,,False,False,
B,prestashop,buyer_sort_products_by_name_a_to_z,tier2,not_activated,False,,False,False,
B,prestashop,buyer_sort_products_by_name_z_to_a,tier2,not_activated,False,,False,False,
B,prestashop,buyer_sort_products_by_price_high_to_low,tier2,not_activated,False,,False,False,
B,prestashop,buyer_sort_products_by_price_low_to_high,tier2,not_activated,False,,False,False,
B,prestashop,seller_backorder_order,tier1,oracle_miss,True,True,True,False,
B,prestashop,seller_cancel_order,tier1,oracle_miss,True,True,True,False,
B,prestashop,seller_delete_product,tier1,caught,True,True,True,True,backoffice-catalog.spec.ts::BO-CAT-01 — Categories list shows seed data
B,prestashop,seller_deliver_order,tier1,oracle_miss,True,True,True,False,
B,prestashop,seller_refund_order,tier1,oracle_miss,True,True,True,False,
B,prestashop,seller_ship_order,tier1,oracle_miss,True,True,True,False,
B,prestashop,seller_view_carts,tier1,not_activated,False,,False,False,
B,prestashop,seller_view_catalog_product_details,tier1,oracle_miss,True,True,True,False,
B,prestashop,seller_view_shop_design,tier1,not_activated,False,,False,False,
